INFORMACIÓN_GENERAL información_general NP00000 1.0
una uno DI0FS0 0.9519732400417357
baja baja NCFS000 0.5247252747252747
en en SP 1.0
términos término NCMP000 1.0
reales real AQ0CP00 0.8409090909090909
de de SP 0.9999614754213187
3,8_% 3.8/100 Zp 1.0
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
y y CC 0.9999892786688395
una uno DI0FS0 0.9519732400417357
baja baja NCFS000 0.5247252747252747
de de SP 1.0
el el DA0MS0 1.0
2_% 2/100 Zp 1.0
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
período período NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
se se P00CN00 0.494508864850837
redistribuyen redistribuir VMIP3P0 1.0
los el DA0MP0 0.9927281155389451
hogares hogar NCMP000 1.0
en en SP 1.0
forma forma NCFS000 0.987798114254021
creciente creciente AQ0CS00 0.9901960784313726
de de SP 0.9999614754213187
acuerdo acuerdo NCMS000 0.9993112947658402
a a SP 0.9987754021314622
sus su DP3CPN 0.9999034935340666
ingresos ingreso NCMP000 1.0
, , Fc 1.0
es ser VSIP3S0 1.0
posible posible AQ0CS00 1.0
indicar indicar VMN0000 1.0
que que CS 0.5501392534733338
un uno DI0MS0 0.9969803144161175
20_% 20/100 Zp 1.0
percibe percibir VMIP3S0 0.9807692307692306
como como CS 0.9671530369867661
máximo máximo AQ0MS00 0.8631756756756757
$ $ Fz 1.0
3700 3700 Z 1.0
, , Fc 1.0
en en SP 1.0
tanto tanto RG 0.8061433447098976
otro otro DI0MS0 0.6585014409221902
20_% 20/100 Zp 1.0
cuenta contar VMIP3S0 0.7685851318944843
con con SP 1.0
un uno DI0MS0 0.9969803144161175
ingreso ingreso NCMS000 0.986111111111111
superior superior AQ0CS00 0.971938775510204
a a SP 0.9987754021314622
los el DA0MP0 0.9927281155389451
$ $ Fz 1.0
13.962 13962 Z 1.0
. . Fp 1.0
. . Fp 1.0
INTERIOR_URBANO interior_urbano NP00000 1.0
. . Fp 1.0
1 1 Z 1.0
. . Fp 1.0
Actividad actividad NP00000 0.66898416616338
, , Fc 1.0
empleo empleo NCMS000 0.9985754985754984
y y CC 0.9999892786688395
desempleo desempleo NCMS000 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
estimación estimación NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
de de SP 0.9999614754213187
actividad actividad NCFS000 1.0
muestra mostrar VMIP3S0 0.598233995584989
en en SP 1.0
este este DD0MS0 0.9492011470708727
trimestre trimestre NCMS000 0.9360465116279071
una uno DI0FS0 0.9519732400417357
disminución disminución NCFS000 1.0
de de SP 0.9999614754213187
un uno DI0MS0 0.9969803144161175
punto punto NCMS000 1.0
porcentual porcentual AQ0CS00 1.0
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
. . Fp 1.0
Esta este DD0FS0 0.9788165266106442
baja baja NCFS000 0.5247252747252747
es ser VSIP3S0 1.0
resultado resultar VMP00SM 0.9248768472906403
de de SP 1.0
el el DA0MS0 1.0
descenso descenso NCMS000 1.0
en en SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
dado_que dado_que CS 1.0
el el DA0MS0 1.0
desempleo desempleo NCMS000 1.0
aumenta aumentar VMIP3S0 0.9891304347826088
. . Fp 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
observamos observar VMIP1P0 0.6499999945741679
dichas decir VMP00PF 0.9807692307692306
tasas tasa NCFP000 0.9910714285714286
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
trimestre trimestre NCMS000 0.9360465116279071
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
, , Fc 1.0
hay haber VMIP3S0 1.0
también también RG 1.0
un uno DI0MS0 0.9969803144161175
descenso descenso NCMS000 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
actividad actividad NCFS000 1.0
, , Fc 1.0
también también RG 1.0
en en SP 1.0
este este DD0MS0 0.9492011470708727
caso caso NCMS000 0.9994450610432852
como como CS 0.9671530369867661
consecuencia consecuencia NCFS000 1.0
de de SP 0.9999614754213187
una uno DI0FS0 0.9519732400417357
baja baja NCFS000 0.5247252747252747
en en SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
. . Fp 1.0
. . Fp 1.0
En_cuanto_a en_cuanto_a SP 1.0
las el DA0FP0 0.9881835086975967
personas persona NCFP000 0.9995854063018242
ocupadas ocupar VMP00PF 1.0
por por SP 1.0
sector sector NCMS000 1.0
de de SP 0.9999614754213187
actividad actividad NCFS000 1.0
se se P00CN00 0.494508864850837
observa observar VMIP3S0 0.9892405063291139
que que CS 0.5501392534733338
, , Fc 1.0
a_pesar_de a_pesar_de SP 1.0
la el DA0FS0 0.9892597806068348
baja baja NCFS000 0.5247252747252747
en en SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
trimestre trimestre NCMS000 0.9360465116279071
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
, , Fc 1.0
la el DA0FS0 0.9892597806068348
distribución distribución NCFS000 1.0
es ser VSIP3S0 1.0
muy muy RG 1.0
similar similar AQ0CS00 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
estimada estimar VMP00SF 1.0
en en SP 1.0
aquella aquel DD0FS0 0.9347826086956521
oportunidad oportunidad NCFS000 1.0
, , Fc 1.0
con con SP 1.0
16_% 16/100 Zp 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
industria industria NCFS000 0.9939939939939941
manufacturera manufacturero AQ0FS00 1.0
, , Fc 1.0
39_% 39/100 Zp 1.0
en en SP 1.0
los el DA0MP0 0.9927281155389451
servicios servicio NCMP000 1.0
y y CC 0.9999892786688395
19,5_% 19.5/100 Zp 1.0
en en SP 1.0
el el DA0MS0 1.0
comercio comercio NCMS000 0.9966887417218544
. . Fp 1.0
Por por SP 1.0
otra otro DI0FS0 0.7408930669800236
parte parte NCCS000 0.9777111015859408
, , Fc 1.0
en_cuanto_a en_cuanto_a SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
por por SP 1.0
sexo sexo NCMS000 1.0
y y CC 0.9999892786688395
edad edad NCFS000 1.0
se se P00CN00 0.494508864850837
aprecia apreciar VMIP3S0 0.9892405063289786
que que CS 0.5501392534733338
el el DA0MS0 1.0
descenso descenso NCMS000 1.0
se se P00CN00 0.494508864850837
da dar VMIP3S0 0.9985549132947976
en en SP 1.0
forma forma NCFS000 0.987798114254021
generalizada generalizar VMP00SF 1.0
tanto tanto RG 0.8061433447098976
en en SP 1.0
hombres hombre NCMP000 1.0
como como CS 0.9671530369867661
mujeres mujer NCFP000 1.0
, , Fc 1.0
jóvenes joven AQ0CP00 0.8021148036253777
y y CC 0.9999892786688395
mayores mayor AQ0CP00 0.9776422764227642
de de SP 0.9999614754213187
24 24 Z 1.0
años año NCMP000 1.0
. . Fp 1.0
. . Fp 1.0
El el DA0MS0 1.0
promedio promedio NCMS000 0.9918032786885246
de de SP 0.9999614754213187
horas hora NCFP000 1.0
trabajadas trabajar VMP00PF 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
semana semana NCFS000 1.0
se se P00CN00 0.494508864850837
estima estimar VMIP3S0 0.7246837099659336
en en SP 1.0
42,2 42.2 Z 1.0
, , Fc 1.0
manteniéndose mantener VMG0000 1.0
en en SP 1.0
similar similar AQ0CS00 1.0
nivel nivel NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
e y CC 0.987993803253292
igual igual AQ0CS00 0.5924932975871314
período período NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
El el DA0MS0 1.0
93_% 93/100 Zp 1.0
declara declarar VMIP3S0 0.8225806451612903
un uno DI0MS0 0.9969803144161175
solo solo AQ0MS00 0.7875288683602772
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
más más RG 0.9999299817952667
de de SP 0.9999614754213187
dos 2 Z 0.9998684556695606
puntos punto NCMP000 1.0
por por SP 1.0
encima_de encima_de SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
y y CC 0.9999892786688395
casi casi RG 1.0
cuatro 4 Z 1.0
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
En_cuanto_a en_cuanto_a SP 1.0
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
de de SP 0.9999614754213187
desempleo desempleo NCMS000 1.0
, , Fc 1.0
la lo PP3FSA0 0.9892597806068348
suba subir VMSP3S0 0.49397590361445776
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
se se P00CN00 0.494508864850837
aprecia apreciar VMIP3S0 0.9892405063289786
en en SP 1.0
los el DA0MP0 0.9927281155389451
desocupados desocupar VMP00PM 1.0
propiamente propiamente RG 1.0
dichos decir VMP00PM 0.976190476190476
, , Fc 1.0
sin sin SP 1.0
distinción distinción NCFS000 1.0
de de SP 0.9999614754213187
sexo sexo NCMS000 1.0
ni ni CC 0.8348527349228612
edad edad NCFS000 1.0
, , Fc 1.0
pero pero CC 0.9999015941743751
principalmente principalmente RG 1.0
en en SP 1.0
los el DA0MP0 0.9927281155389451
hombres hombre NCMP000 1.0
mayores mayor AQ0CP00 0.9776422764227642
de de SP 0.9999614754213187
24 24 Z 1.0
años año NCMP000 1.0
, , Fc 1.0
jefes jefe NCCP000 1.0
de de SP 0.9999614754213187
hogar hogar NCMS000 1.0
. . Fp 1.0
. . Fp 1.0
En en SP 1.0
relación relación NCFS000 1.0
a a SP 1.0
el el DA0MS0 1.0
desempleo desempleo NCMS000 1.0
por por SP 1.0
sector sector NCMS000 1.0
de de SP 0.9999614754213187
actividad actividad NCFS000 1.0
, , Fc 1.0
con con SP 1.0
la el DA0FS0 0.9892597806068348
excepción excepción NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
industria industria NCFS000 0.9939939939939941
manufacturera manufacturero AQ0FS00 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
permanece permanecer VMIP3S0 0.9807692307692306
en en SP 1.0
similar similar AQ0CS00 1.0
nivel nivel NCMS000 1.0
, , Fc 1.0
el el DA0MS0 1.0
resto resto NCMS000 0.9986338797814206
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
sectores sector NCMP000 1.0
aumentan aumentar VMIP3P0 1.0
sus su DP3CPN 0.9999034935340666
tasas tasa NCFP000 0.9910714285714286
especificas especificar VMIP2S0 1.0
y y CC 0.9999892786688395
contribuciones contribución NCFP000 1.0
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
se se P00CN00 0.494508864850837
analizan analizar VMIP3P0 1.0
las el DA0FP0 0.9881835086975967
condiciones condición NCFP000 0.9984177215189873
requeridas requerir VMP00PF 1.0
por por SP 1.0
los el DA0MP0 0.9927281155389451
que que PR0CN00 0.5501392534733338
buscan buscar VMIP3P0 1.0
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
un uno DI0MS0 0.9969803144161175
56_% 56/100 Zp 1.0
no no RN 0.9992965295457591
ponen poner VMIP3P0 1.0
condiciones condición NCFP000 0.9984177215189873
, , Fc 1.0
en_tanto_que en_tanto_que CS 1.0
el el DA0MS0 1.0
30_% 30/100 Zp 1.0
busca buscar VMIP3S0 0.5568513119533529
empleo empleo NCMS000 0.9985754985754984
acorde acorde AQ0CS00 0.6386407239583621
a a SP 0.9987754021314622
experiencia experiencia NCFS000 1.0
o o CC 0.9998636115657392
con con SP 1.0
limitaciones limitación NCFP000 1.0
de de SP 0.9999614754213187
horario horario NCMS000 0.9838709677419354
. . Fp 1.0
Por por SP 1.0
otra otro DI0FS0 0.7408930669800236
parte parte NCCS000 0.9777111015859408
se se P00CN00 0.494508864850837
estima estimar VMIP3S0 0.7246837099659336
en en SP 1.0
31 31 Z 1.0
semanas semana NCFP000 1.0
el el DA0MS0 1.0
tiempo tiempo NCMS000 1.0
promedio promedio NCMS000 0.9918032786885246
de de SP 0.9999614754213187
búsqueda búsqueda NCFS000 1.0
de de SP 0.9999614754213187
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
hasta hasta SP 0.922749391727494
el el DA0MS0 1.0
momento momento NCMS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
entrevista entrevista NCFS000 0.9901315789473685
, , Fc 1.0
tres 3 Z 1.0
semanas semana NCFP000 1.0
más más RG 0.9999299817952667
que que CS 0.5501392534733338
en en SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
trimestre trimestre NCMS000 0.9360465116279071
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
2 2 Z 1.0
. . Fp 1.0
Ingresos ingresos NP00000 0.66898416616338
. . Fp 1.0
El el DA0MS0 1.0
ingreso ingreso NCMS000 0.986111111111111
promedio promedio NCMS000 0.9918032786885246
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
hogares hogar NCMP000 1.0
se se P00CN00 0.494508864850837
sitúa situar VMIP3S0 0.9929577464788732
en en SP 1.0
$ $ Fz 1.0
5413 5413 Z 1.0
, , Fc 1.0
sin sin SP 1.0
considerar considerar VMN0000 1.0
el el DA0MS0 1.0
valor valor NCMS000 1.0
locativo locativo AQ0MS00 0.6612582930035182
. . Fp 1.0
Debe deber VMIP3S0 0.998069498069498
tenerse tener VMN0000 1.0
presente presente AQ0CS00 0.5242537313432836
que que CS 0.5501392534733338
, , Fc 1.0
como como CS 0.9671530369867661
siempre siempre RG 1.0
, , Fc 1.0
se se P00CN00 0.494508864850837
registran registrar VMIP3P0 1.0
los el DA0MP0 0.9927281155389451
ingresos ingreso NCMP000 1.0
correspondientes correspondiente AQ0CP00 0.9807692307692306
a a SP 1.0
el el DA0MS0 1.0
mes mes NCMS000 1.0
anterior anterior AQ0CS00 1.0
, , Fc 1.0
por por SP 1.0
lo el DA00S0 0.6651648430236716
que que PR0CN00 0.5501392534733338
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
incluye incluir VMIP3S0 0.9504504504504505
el el DA0MS0 1.0
medio medio AQ0MS00 0.7050970873786407
aguinaldo aguinaldo NCMS000 1.0
cobrado cobrar VMP00SM 1.0
en en SP 1.0
el el DA0MS0 1.0
mes_de_diciembre [??:??/12/??:??.??:??] W 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
se se P00CN00 0.494508864850837
distribuyen distribuir VMIP3P0 1.0
los el DA0MP0 0.9927281155389451
hogares hogar NCMP000 1.0
en en SP 1.0
forma forma NCFS000 0.987798114254021
creciente creciente AQ0CS00 0.9901960784313726
de de SP 0.9999614754213187
acuerdo acuerdo NCMS000 0.9993112947658402
a a SP 0.9987754021314622
sus su DP3CPN 0.9999034935340666
ingresos ingreso NCMP000 1.0
, , Fc 1.0
es ser VSIP3S0 1.0
posible posible AQ0CS00 1.0
indicar indicar VMN0000 1.0
que que CS 0.5501392534733338
un uno DI0MS0 0.9969803144161175
20_% 20/100 Zp 1.0
perciben percibir VMIP3P0 1.0
como como CS 0.9671530369867661
máximo máximo AQ0MS00 0.8631756756756757
$2375 $2375 Z 1.0
, , Fc 1.0
en en SP 1.0
tanto tanto RG 0.8061433447098976
otro otro DI0MS0 0.6585014409221902
20_% 20/100 Zp 1.0
cuenta contar VMIP3S0 0.7685851318944843
con con SP 1.0
un uno DI0MS0 0.9969803144161175
ingreso ingreso NCMS000 0.986111111111111
superior superior AQ0CS00 0.971938775510204
a a SP 0.9987754021314622
los el DA0MP0 0.9927281155389451
$7512 $7512 Z 1.0
. . Fp 1.0
. . Fp 1.0
